wavelengths,reflectance
381.00558,0.9058292
388.4092,0.9362625
395.81583,0.9605809
403.2254,0.978002
410.638,1.0029893
418.0536,1.0288857
425.47214,1.0532999
432.8927,1.0683458
440.31726,1.0750729
447.7428,1.0845423
455.17035,1.0927033
462.59888,1.1021512
470.0304,1.1049445
477.46292,1.1030568
484.89743,1.1094329
492.33292,1.1130427
499.77142,1.1166936
507.2099,1.1200575
514.6504,1.1252403
522.0909,1.1209856
529.5333,1.1140858
536.9768,1.1128006
544.42126,1.1196996
551.8667,1.1189848
559.3142,1.1119462
566.7616,1.1137059
574.20905,1.1002628
581.6585,1.1015676
589.108,1.0973564
596.55835,1.0970055
604.0098,1.0956527
611.4622,1.0898262
618.9146,1.1392773
626.36804,1.1338782
633.8215,1.1332864
641.2759,1.1395308
648.7303,1.1278188
656.1857,1.1309639
663.6411,1.138857
671.09753,1.1176522
678.5539,1.0738796
686.0103,1.0984913
693.4677,1.0530593
700.9251,1.0616534
708.38354,1.0733122
715.84094,1.0805347
723.2993,1.089196
730.7587,1.1023542
738.2171,1.1043078
745.6765,1.0898092
753.1359,1.0964932
760.5963,1.0957962
768.0557,1.0897716
775.5161,1.0842378
782.97754,1.0759268
790.4379,1.0707772
797.89935,1.0675443
805.36176,1.0656123
812.8232,1.0671688
820.2846,1.0683084
827.746,1.0678098
835.2074,1.0638124
842.66986,1.0586705
850.1313,1.0510294
857.5937,1.0400329
865.0551,1.026966
872.5176,1.0137061
879.98004,0.9997908
887.44147,0.9872372
894.90393,0.97709405
902.3664,0.97062975
909.82886,0.9655215
917.2913,0.962341
924.7538,0.96111673
932.21625,0.9609839
939.6788,0.96681386
947.14026,0.96827817
954.6027,0.9727379
962.0643,0.968778
969.5268,0.95038414
976.9883,0.92362136
984.4498,0.8953478
991.9114,0.87325513
999.37286,0.84597754
1006.8344,0.8259789
1014.295,0.8103145
1021.7566,0.7987168
1029.2172,0.7967995
1036.6777,0.7961861
1044.1383,0.8020485
1051.5989,0.81471825
1059.0596,0.8283493
1066.5201,0.8428621
1073.9797,0.85383624
1081.4404,0.86176324
1088.9,0.8652634
1096.3597,0.86653966
1103.8184,0.8649344
1111.2781,0.8636407
1118.7368,0.8607239
1126.1964,0.85873693
1133.6552,0.8573656
1141.1129,0.85060936
1148.5717,0.8363178
1156.0304,0.81155044
1163.4882,0.7755638
1170.9459,0.7389422
1178.4037,0.7009843
1185.8616,0.6657695
1193.3184,0.63181496
1200.7761,0.6034802
1208.233,0.57985693
1215.6898,0.56377584
1223.1467,0.55457664
1230.6036,0.54893893
1238.0596,0.5460762
1245.5154,0.5442079
1252.9724,0.5442304
1260.4283,0.54383487
1267.8833,0.5471739
1275.3392,0.55374515
1282.7942,0.55740684
1290.2502,0.5598693
1297.7052,0.5593983
1305.1603,0.5574367
1312.6144,0.5526622
1320.0685,0.54641664
1327.5225,-0.01
1334.9756,-0.01
1342.4287,-0.01
1349.8818,-0.01
1357.3351,-0.01
1364.7872,-0.01
1372.2384,-0.01
1379.6907,-0.01
1387.1418,-0.01
1394.5931,-0.01
1402.0433,-0.01
1409.4937,-0.01
1416.944,-0.01
1424.3933,-0.01
1431.8427,-0.01
1439.292,0.2577977
1446.7404,0.19610292
1454.1888,0.1450442
1461.6372,0.11598671
1469.0847,0.10110362
1476.5321,0.08775799
1483.9796,0.078048795
1491.4261,0.07152166
1498.8727,0.069720514
1506.3192,0.06989005
